GeneSymbol	mirror_db_sample1	mirror_db_sample2	mirror_db_sample3	mirror_db_sample4	mirror_db_sample5	mirror_db_sample6	mirror_db_sample7	mirror_db_sample8	mirror_db_sample9	mirror_db_sample10	mirror_db_sample11	mirror_db_sample12	mirror_db_sample13	mirror_db_sample14	mirror_db_sample15	mirror_db_sample16	mirror_db_sample17	mirror_db_sample18	mirror_db_sample19	mirror_db_sample20	mirror_db_sample21	mirror_db_sample22	mirror_db_sample23	mirror_db_sample24	mirror_db_sample25	mirror_db_sample26	mirror_db_sample27	mirror_db_sample28	mirror_db_sample29	mirror_db_sample30	mirror_db_sample31	mirror_db_sample32	mirror_db_sample33	mirror_db_sample34	mirror_db_sample35	mirror_db_sample36	mirror_db_sample37	mirror_db_sample38	mirror_db_sample39	mirror_db_sample40	mirror_db_sample41	mirror_db_sample42	mirror_db_sample43	mirror_db_sample44	mirror_db_sample45	mirror_db_sample46	mirror_db_sample47	mirror_db_sample48	mirror_db_sample49	mirror_db_sample50	mirror_db_sample51	mirror_db_sample52	mirror_db_sample53	mirror_db_sample54	mirror_db_sample55	mirror_db_sample56	mirror_db_sample57	mirror_db_sample58	mirror_db_sample59	mirror_db_sample60	mirror_db_sample61	mirror_db_sample62	mirror_db_sample63	mirror_db_sample64	mirror_db_sample65	mirror_db_sample66	mirror_db_sample67	mirror_db_sample68	mirror_db_sample69	mirror_db_sample70	mirror_db_sample71	mirror_db_sample72	mirror_db_sample73	mirror_db_sample74	mirror_db_sample75	mirror_db_sample76	mirror_db_sample77	mirror_db_sample78	mirror_db_sample79	mirror_db_sample80	mirror_db_sample81	mirror_db_sample82	mirror_db_sample83	mirror_db_sample84	mirror_db_sample85	mirror_db_sample86	mirror_db_sample87	mirror_db_sample88	mirror_db_sample89	mirror_db_sample90	mirror_db_sample91	mirror_db_sample92	mirror_db_sample93	mirror_db_sample94	mirror_db_sample95	mirror_db_sample96	mirror_db_sample97	mirror_db_sample98	mirror_db_sample99	mirror_db_sample100
AADAC	142.611238250665	39.3349297453638	64.73040542445	69.21975670913	32.5843846959523	54.7120470450079	59.0926802065962	36.6374889690229	72.4112154511622	64.6869691440633	60.7803034170396	41.661921811554	70.8027454015159	71.5253568887729	48.6052545685829	57.9587700420188	66.3684701747235	66.3991432795959	26.7355262906121	33.9101018309502	37.4612589956962	42.6176526563223	59.521001767831	63.2967590827479	43.7761877060608	34.5519254495602	32.8414275033623	106.224197533035	60.7703309019424	50.2035296898292	42.2607975086344	50.4133308584112	63.5820163133638	64.3520837340068	70.9866934446044	39.2185119164786	21.1765514291117	44.8729993392136	81.4277133983856	44.0237426484463	51.2188499819575	96.1157651621568	61.7120538356997	87.5315795759582	41.6301693568516	76.5732954270944	64.4809616652129	51.5937178747296	82.4673689946492	63.2561429530385	59.928109154912	50.3914248572499	58.2210067584134	106.962903870353	35.8945669228441	57.1047384887289	81.7453741423229	41.7677928395047	24.7337507756831	85.6273465876417	61.8902389824903	37.2059033510973	32.5345620708163	52.627891725389	38.647204595292	88.3286969656148	57.6312012939658	70.2284485333426	32.84170684936	51.7840719251441	111.011425516614	66.997254343123	59.1251577995305	65.174118016769	66.0777259672569	38.1117312600305	45.100408708568	75.9725058024	43.7400677098145	52.4998107133733	54.3623145833618	36.7643096708026	91.6623627145775	55.3139643996504	44.9271252999561	38.3229674677827	54.4853585043892	77.7331184374972	93.8946477155997	60.9840771903431	36.5987977143657	69.0094297036691	47.3888418856949	38.8761542125723	66.4018158915742	51.5640005321613	52.9912447926456	58.5010063933274	28.346689795475	57.2054749600397
AAGAB	112.047981558436	135.413542820804	85.5180822324555	121.759649340911	137.267359899062	96.8440713909119	107.880817214416	116.252751750485	134.852219959799	124.44799896991	105.160735817051	139.90501057283	142.829166739723	127.70757596008	124.828789401205	100.038799768798	146.25181432942	75.5214841125651	129.585272023301	194.539662038861	87.3863569913901	104.241774965542	155.280601794859	120.740770978133	106.932948648168	120.445897715083	109.438893876733	116.071011901482	173.524889520425	125.556202402772	136.383036470722	111.53780927644	96.0310810698308	124.863604378055	93.5827796377681	119.622916557688	99.8901573304911	155.561860117977	104.9673146305	97.340190562682	84.8717052608285	126.699519900353	138.09527589791	128.613484606412	86.2278049239367	101.921489409196	175.105793201975	103.876711270035	119.956609072269	111.007462255067	150.598225425225	91.4451268853702	111.663811772563	119.734044402452	96.2917995603383	94.4099301050856	110.224652806071	130.69987709672	152.811842274939	127.090477945478	101.678359836324	111.546506096165	88.5640985821373	125.279092108406	127.070442195339	95.6908786953409	106.499230662823	94.8718542950367	107.24780929392	110.750553788468	95.8299673821933	74.7511021228183	90.5365138749317	99.5514159650801	131.521806584012	122.333481137029	174.227675622133	110.78640615677	116.519238368241	112.553532793093	107.642667634058	119.860253201211	84.8417276427405	131.997551014343	134.593649192121	96.8668529677517	135.388898447399	86.6790106816644	106.484367276331	129.695927066754	90.676063987952	118.785732798552	107.034894639584	99.9920379135951	106.484683687604	75.6362034476769	119.211673452274	111.382526822391	154.89182341135	98.9493377037826
AARS	262.406555926252	279.393512608982	238.805996795293	260.882522667341	255.506003356536	237.979051989123	261.703462764323	235.318765211259	223.243891430344	233.98699302643	243.196342716963	263.232639816236	241.31974322552	241.182385180829	242.811828712029	229.106118359175	241.971224919719	211.96594973175	262.455559458098	249.822136636436	241.012520872497	262.721730371476	256.357658546895	286.421728917892	253.961351325693	243.005821562461	250.307756152208	237.071720317332	225.267700335852	223.031355902808	269.2154047274	246.238613640087	235.970909517875	229.202411045708	247.968524240182	246.863501031047	265.375721877687	249.052533577597	231.614980964434	258.88048664154	234.608745310352	231.157173964398	269.424085098489	296.74792767379	250.583114796595	255.301508336079	244.371002720528	270.330808920846	237.365957969674	244.353391169567	210.529621442862	250.662886576354	231.988505713318	249.674694476513	249.456373835896	201.161520414779	244.217759265709	249.652665435771	237.866890911142	200.550223731918	240.293514889276	276.628339840606	245.320338559542	272.2894112654	271.836286498992	267.990490518474	259.23101183673	240.651155404712	271.65567863385	234.855447422413	208.931341307291	270.717776609831	261.800312750035	250.992418162139	251.07021057684	241.900093564703	248.761871767791	222.10328907575	239.649749756933	280.397206061729	230.872728551222	253.909846603363	259.998371510533	257.347660521793	243.951670054368	249.259201320073	292.656509845037	197.35338353578	245.595268369551	210.020575770449	239.093729508631	222.901180322927	251.184833450805	231.19612791296	232.725148783319	221.064114579346	234.515072297083	268.30507434428	244.221000281748	192.675682593304
AASDHPPT	177.062201319584	239.820206738742	222.173036019796	245.405156933535	227.831301630038	250.783391058286	245.088773034295	253.870761145766	225.874408238327	206.552702812244	251.554192297886	229.648719952241	239.006219835882	201.024740461148	224.604454222552	230.82022611328	275.492135494442	197.193341741518	246.271593827584	236.487102495518	216.100664887236	208.466512760082	223.471165186376	200.745321614594	223.70413444664	224.219190116193	265.056154396681	213.457982567573	218.290597749358	201.210669837559	236.533961376522	227.114988334887	216.547437659642	220.652472446216	282.372996968794	238.660016605345	211.049867097193	249.148787613459	214.044781762769	224.844302082665	229.847281299716	227.500490054887	210.20959402515	230.243629822704	242.245878708891	215.687931510969	200.377181495659	211.126247136822	211.578036970109	228.66781145563	288.208277873172	235.514060198818	266.946249882032	248.517016723996	217.626790272145	268.632885120365	184.24683799979	247.306090738944	241.091366337803	229.205735064609	196.365874917935	230.809911700501	212.788177655824	240.10213098923	234.141534400927	202.690078816455	234.496359786072	209.866121730926	233.907034289664	288.3496289916	233.79736727573	205.747647934018	265.849461287678	246.344581753618	256.692869882945	206.829045802385	253.711731724672	226.0045868052	222.237724126613	237.224827555192	240.222206211913	238.42186301838	289.881531365604	229.626090781707	231.983642241836	222.388540948614	203.733174042171	209.37619411388	246.232734802386	235.29381665872	231.644575541678	192.172624431238	244.821915457422	228.282990181369	240.834653889386	220.767591287718	215.350384901494	234.001946121854	255.364182111328	219.266528948852
ABCA1	335.445835228218	439.692369712072	380.254625915277	563.364595720455	354.653197138781	383.944766866303	369.076738480083	517.834165661341	303.464183035561	450.315170240456	472.746959050602	384.121430676941	431.176918292245	361.703754016739	337.622490178092	374.167435657913	370.399073227508	390.100633874926	379.502857103802	387.002180195268	400.256017264522	422.500394136377	463.996802216029	390.49391683306	375.843136645975	445.514596208824	454.099651202035	372.885179611297	423.334599308577	399.652595005373	341.47834523911	338.509073981336	361.405946897892	495.895718910795	371.329480841953	304.939668990483	408.053693730206	327.638538079144	350.227080410801	336.398720775839	359.676162881948	445.330427786627	375.033370556993	297.160204313033	336.072207304393	408.788247090564	282.613423342689	425.720537057864	498.915222713497	408.43430524635	380.621855756142	347.366025324399	299.988863009846	341.495824852754	408.991336824527	348.514819359566	354.702632602619	323.722446535493	410.100439899105	394.238313058043	377.784115670183	298.89271254749	369.85601153661	333.327773307022	305.436988428671	274.291910785919	483.955225500924	467.974672598046	451.912459209947	405.482239460882	390.927361039825	415.393091607542	431.903119632747	350.176560064482	373.871597527674	464.26890333832	400.492795382503	398.283826568558	389.472870682651	400.096298841503	352.501754294241	378.48215334577	297.1072099702	395.440817396371	522.143801139667	369.710559849335	363.9854748713	435.801173337833	351.677038424319	392.88084190969	436.699674629815	382.32083335369	394.908279174093	387.677199699424	397.201135598362	324.816575115292	430.991455272233	455.073568709073	344.404692867554	425.479202474208
ABCA10	69.7133011235802	257.932013348311	87.4559258813342	75.3188091951447	79.6422331494552	161.34669516263	107.874163421298	84.3660562791658	178.13065865194	176.017874009918	95.7724792519912	76.7522726514713	142.222196954491	124.512051707461	105.778014180329	103.236418315702	112.461909379085	178.15881626607	101.459330109869	70.2072724049499	87.6792153323733	190.294086520505	215.055707418997	91.8934117607779	194.469376176793	109.598128425155	78.1408649532749	70.6366404766187	107.265352741123	79.8584113424976	76.9293500360719	125.168201232968	123.398809529401	80.9544016658661	70.7623221869748	172.096095969967	142.893451305476	112.444000538905	165.118861364746	99.9066249033414	259.457274845445	194.34684149794	157.429171995926	135.712354836923	98.3197000209997	186.945339551126	146.548938185534	93.1594053491388	168.34189892634	122.668793405436	146.996167877426	106.930535402594	152.314582162243	166.733534592183	83.5888324244973	149.356231080255	157.360332489707	93.1769189013726	65.7404752710457	160.267969537872	163.667045411372	171.331769447882	113.284473567463	74.3355344616388	142.640859221708	139.254750919651	118.227190091497	106.098556074185	112.737415604178	98.8330830767537	187.261070764913	166.342340190528	184.931994337787	85.479570005101	118.757621282847	162.654610187031	166.449261884884	160.855872230336	271.24446995495	69.0932407775604	169.07548460515	59.630083622514	120.200721025127	69.6988204551987	142.514171077979	76.2625340280671	89.4827910731842	126.298982380142	102.748310014323	148.1375390663	105.636194193382	206.893115957944	86.4854585840021	132.15666184933	123.53332692059	204.922255913819	68.3905169891461	115.471391948752	152.689920416837	144.265414619284
ABCA6	218.832898122267	306.694106753812	315.268581517814	262.987858820477	223.546645516799	439.344504338479	215.563007123462	261.12966529467	411.844101954154	399.990708084429	270.892617759048	370.777727420845	326.208265443961	365.458885223557	241.167867599763	360.753789681285	347.423051682045	388.997278984738	280.581738795598	255.908103000691	268.487198506465	438.316997098804	336.810375999143	277.704606431458	362.75120630409	236.349797693702	257.369101775371	249.024048973319	353.296938758514	230.740024136014	297.021393827427	312.46750956867	247.581907889335	233.363427970484	314.193825942137	325.490425213375	217.517274214738	226.530595525158	397.971954611708	280.052238020801	565.025241609363	632.861749578869	350.183167993487	299.444535818246	248.953283167345	396.558180357694	247.140280096011	299.665746656298	509.648868441604	280.083253663401	321.342171522303	296.418665242209	278.00837115011	339.433364182317	219.62130802477	283.364657620342	344.815020015329	241.597392325983	199.185183684119	295.457106116876	291.412097465616	283.614923700376	358.700048756066	178.751895799257	225.800666513269	302.431705480661	271.981292054703	271.940140445913	286.713641186661	305.552182142033	523.691951393816	280.671855989861	373.447507137122	313.30918182981	436.374403817986	450.405205363527	330.034340879477	362.28923896074	343.568502401828	332.842613799091	276.380294197172	202.476182423136	216.777825791108	203.785334970089	395.484362552076	195.412381736193	255.064046071509	368.344065947665	402.957317832851	273.068300621524	250.639986663019	520.444681609659	258.02615487308	241.521603393469	429.578541388305	396.820616843378	271.97887992379	241.424230567011	290.586769229236	268.566676364115
ABCA8	295.483771064817	412.198489946778	398.346483924958	315.131395389278	240.237958037024	408.814549083645	321.394305961562	257.496522988898	459.122825401281	622.073087793433	329.84435182143	464.807053353086	304.235786753866	542.947282421111	248.06473628656	444.56068150927	357.259060967549	382.049674679507	318.631118802459	281.450336046124	252.153988457814	470.657071307872	338.369709168224	295.779691183629	428.81928719898	308.788434507154	266.163427435365	283.89141416275	357.729128257637	337.230312463755	237.890021928893	407.060009054728	296.030134523465	319.641567643157	234.906871597075	414.056549295154	290.413533394116	358.433463603634	481.430254923627	329.173795409157	543.409262841852	663.139720175443	464.82547830812	240.501681345252	319.680540576048	402.008996915964	294.493076957456	337.621827841117	371.437196296572	311.845691415852	337.710753906338	262.186442655028	459.667400764681	386.304549080522	236.050601143275	319.65863562517	370.993339607008	237.240113843381	176.150279868311	293.417588776004	320.876484756152	367.218460352048	370.10347464945	312.068598600564	307.052581205035	339.566714338248	264.818741985847	335.985171308637	318.926533506045	291.342216358872	452.889970919366	378.002620385074	368.849975906913	271.396257447713	427.516703557572	545.77576390675	488.021225941357	441.554292236222	555.742776286304	291.097803451961	310.796573727971	299.622299695623	305.675890239516	290.773149879514	482.2163781237	273.738346743512	319.00432552772	526.87480015009	456.23009800387	372.5343414176	306.54663044891	564.837896179503	365.8818584922	384.71089671861	351.694786740362	486.87452500558	330.866775560338	309.27367263435	325.773556824636	518.014642748365
ABCA9	193.824387516937	140.626044554761	218.075319228426	171.577850477376	184.243900235488	206.458564198484	115.267863762065	195.215154172666	146.953190150265	231.735301979015	138.591046479883	240.042838851884	231.362436956273	213.280976498208	169.062420524851	141.897504336656	162.170778149242	228.535514985366	139.338259425187	145.920708442369	188.101788907616	213.762250022257	236.538494845641	150.514027020264	276.583477177817	125.285533747914	125.885927571065	145.524568651208	137.97951273366	141.35671785675	157.578104410073	175.344906825103	166.499870891625	152.595260974541	171.669054862514	170.765808795448	138.736745224231	167.714280248828	222.621056855078	125.256370615175	251.927510292099	321.238086859864	181.285283625323	162.952276967728	140.590501934436	259.527233245822	128.318466408917	122.758731186639	211.901962959027	176.880688313346	161.795920553685	146.342721627229	156.031805243024	250.447406954039	137.778720224965	180.037947685727	219.435535657622	117.171217185103	123.0280036292	167.358613662628	190.456262168529	149.270346314364	144.801342450299	110.736951547117	128.643889965907	210.874806638431	137.72839005453	180.194727021573	215.953351526751	154.932450979581	326.937642504296	193.897491632185	212.076204804684	134.88280111796	161.433193960658	252.544076880621	221.248654149628	227.86837780202	214.661711043976	119.196870093459	132.297746593425	128.503250573024	167.413162227875	176.469074912888	141.446500601182	159.84405372704	152.959769823993	231.358373971851	229.436817786358	180.3158699426	130.543235752282	316.877286820371	176.416320133461	157.47868950847	254.307823861061	197.554240191085	162.085692311202	122.321545136788	176.350536439557	148.577659439277
ABCC9	424.93527822858	833.161718338528	822.939781076989	1089.21459240698	520.703139571689	571.95611353945	384.909963204906	786.487283874033	599.147303291415	293.165371440288	689.468501538309	324.514365416808	327.036598265077	609.041215060633	505.837958254194	529.944473033959	547.211329111571	442.863976702044	440.694306072689	460.7822601272	403.852822055519	499.211813492266	363.334660529265	596.253842262303	721.23445347157	469.682704831347	755.369072025574	577.419591178677	626.521875248356	342.889877629208	343.688096736448	684.870830314087	508.373845615766	362.317191327067	813.785171774409	301.275287613293	566.504987292021	887.904259220005	623.473826723403	410.558714813197	681.369197844789	601.253803999095	607.223870745719	471.448868045697	888.151585562116	300.217240557192	615.624448483368	409.654406078107	307.164927382482	442.333654138795	639.657500401498	267.847371686162	781.37815224329	612.551210999583	446.932371069766	972.49068989795	451.931000081325	375.240443693808	231.087531422276	911.250093150246	674.75943044085	305.398739929378	315.282022130873	296.077616659404	534.599211501502	434.186390865017	560.124026559046	574.009405969653	515.977093056053	352.367001935339	622.060619862607	529.131493084072	317.672647294485	476.232277336001	323.574577142215	874.644371794479	469.400828247954	381.258579595859	559.049570350795	675.227825185392	590.290568264543	244.928949379667	447.315312439906	708.616134862367	776.361153655686	318.763317895196	617.091588121538	928.707699652845	426.16058223953	637.112347809142	458.254698226739	503.317267342489	551.809415506691	322.910896564394	616.48105236531	418.295526419895	394.419912205186	858.952795531378	333.936154296271	353.737695614089
