GeneSymbol	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
AADAC	54.24978347194939943	21.65898854993844225	35.94732285187964749	21.88486142150585678	55.06498851934242822	979.64616539536848450	61.67089160284379545	204.63423561374042947	21.68355992894135298	14.64206152636628566
AAGAB	110.69757302516997299	74.59566046413176821	110.66231006182803753	121.51119076043509892	97.65723390817714744	88.48991270689789701	230.19957787070805466	133.47586245702964902	84.43295013547007954	92.17825672682046445
AARS	246.09560308663705541	265.20358783427752769	204.21737092155910887	192.55678623134636496	315.65429467679354048	92.33095318177718980	175.48189107826968325	437.61957485868015283	237.69146349717433964	235.36703292883029803
AASDHPPT	194.91418005109449041	295.05241030233287347	177.96607770240751734	170.73225479421253681	199.43942148771517964	196.82672950849305948	227.58809212105273900	207.10016381056726686	240.16450948643952756	213.24211005870984081
ABCA1	485.98860571164902922	267.22333880849066645	510.27979376123255406	366.56486878871953650	896.48660244014877208	443.71292556337567703	313.57599030692477982	542.84314954598005443	240.07554552546989157	445.40025918901102386
ABCA10	150.93549359206778604	50.50236542075310808	162.74884347086586445	147.07555395889980332	628.93475525112251034	498.49292148127580049	22.82995426301096842	259.75018779313336381	54.14515974214492644	122.98082874105563178
ABCA6	481.94625233046201629	135.74016358403648042	583.59869280406735470	322.01259680983548606	871.60265664917039885	1337.64113776654039611	185.42503853009179693	395.60619280149961696	118.49747127361490584	237.66834558524783461
ABCA8	469.51298481374493576	196.77939953286974628	590.44973904902701634	391.63753823544476518	853.25063892423531797	2206.82616070646554363	110.33532077230302093	533.63406737000548219	179.45086219077410306	822.30676832122162523
ABCA9	226.89401349451728152	67.36202182450664111	215.65877216864606680	157.99460120038887112	595.04075807748722582	790.52899467497024943	160.12541259287769435	279.59482470923461506	69.47125429762040483	145.38814424666142600
ABCC9	193.55712301610108739	1173.17449476182969192	83.12693986200314100	330.07262620089574057	334.38327011197861793	178.67945142879614195	215.71125370817779299	246.28379371254652597	584.38356290631747925	1534.80356522657757523
ABCD4	270.98431245875281093	249.41703577954788784	241.38588642497543901	206.97524227691306464	426.80424677182492132	128.56957218514276065	176.50775715534842902	270.81597328640378919	211.76890823924546225	202.88094648311675883
ABCF2	199.68590461967872329	231.75407950340641605	157.91669838634291523	176.13285938027601674	146.52317841968442735	119.26899800980596922	295.82261095762862624	165.26235910574553145	221.71684932594467909	156.22430523200733887
ABHD12	211.77129571936717412	211.76099257367278028	165.82866478296202217	224.50579169266714530	127.40915155720615815	179.81154923244216093	262.23425785652534614	211.64210920080245160	221.22443210441548445	210.13716288016533440
ABHD14A	246.02673012728931212	184.92477073513757091	179.13377754423456167	168.38671028964682819	147.39768160056217994	455.11234324926323325	170.08053737825187568	295.34071947561750449	187.78990711227487509	268.09162756067371447
ABHD5	225.23256010389528115	342.02742186694729298	271.74008751866358580	259.14717311888955464	483.59414430252576267	335.22140415286042980	172.50961245767476271	178.98851731420336364	401.33306464493739441	403.51892575204624336
ABI3BP	1222.19820711303191274	300.26594277727082272	3678.76320308591948560	511.47180033574494473	923.19998915936321282	3570.69355808792215612	1147.47280640419353404	899.00437299645545863	477.83733635375006088	891.42170371566248832
ABL2	1292.36529199494361819	1284.22879037447228256	1471.94798026448052042	1178.44302152497766656	3342.34063062153609280	1391.94019707005350028	1442.57090573280652279	1247.05574762085984730	894.91109708708279413	895.43750517930777733
ABLIM1	162.18973441583906947	71.92325464369773158	131.61354839094377667	203.72241896158377017	317.69016287006076027	638.13642661650101218	128.45930029795306382	168.84242175994407376	89.98680861749730298	75.19256741633948593
ABR	131.03112486938590564	164.28011139297498744	104.55308903044993940	231.89124907404209353	276.54934730589712899	123.65232013848519443	117.24619703413610239	172.79411109157464921	260.36822150914997565	78.51691228326374983
ABRACL	561.03635738005925759	328.81300628089923066	690.96822663230534545	549.27200653913473616	266.33606855372164546	187.95958569397717497	591.81969022022519766	411.42866643610017263	216.45879883230060159	174.92434721433139089
ABRAXAS1	158.91003136486784797	198.42178986133674812	165.05394118112641877	188.87977111711623479	124.66155175857564075	177.23296142153452593	88.76835818723948535	179.94232111805732188	220.23606390598678217	324.88155711163898332
ABTB1	229.72731644332594669	486.15215177692238058	167.10483707805695985	290.69606713931210606	277.13113468337729728	211.27506328794311230	135.94053515973612889	240.71387228816132620	701.87541043612191061	520.90731374037227397
AC027290.2	371.12607904541675907	407.42011915008487222	323.63530780701336198	717.25903892148437535	1165.02711639780727637	126.41956774978942235	300.04395718859620956	268.51904746562098580	449.81941355798619497	276.48694298941842362
AC068491.4	141.15043392386979804	304.38674265390255869	113.38537946345586249	115.18070535994152692	304.17048102572738344	103.07960189739732471	166.16430636344026084	123.44187032230891532	163.95473200033083572	68.42839995211731718
AC093155.3	129.68500516311758020	155.41816820264907051	331.43050773177589008	134.34325199512821314	95.87730514411043714	241.88097193301788934	231.52934292896756574	169.51644013147347323	67.42944623652614666	427.04940408885158831
AC093908.1	103.92014945358090472	291.89388243301408465	65.58304892120058582	131.59359320653223335	243.30235558668445606	17.28719930042342412	76.69074012463109113	71.33518580621868921	186.64992190151681939	102.43965058767487619
AC134043.2	75.16365422696497944	302.66037802239236498	80.31384950102369658	123.64021112877973962	84.76410998772033167	104.35054906839103239	84.17801369172877912	84.56907695360003174	256.05367528010617661	177.84243612280903335
ACAA2	642.91112751551668225	439.92900652737955625	601.53974886667299415	469.24709995800071738	329.78398174278515853	593.34675711461534320	781.33413194789523004	741.57637374902174088	378.08587750124632976	359.45773974751961077
ACAN	59.53892398592815738	296.05168318755238488	50.73085213217819955	76.21514970597593219	66.73948068664746813	0.00000000000000000	200.93142749125883029	89.77764661751676556	428.79324362485232314	21.26845170845781752
ACAP3	174.21174248320022571	226.96401875896322053	90.84632937037170564	164.16117394502691695	281.88546939917137024	141.26851200805796793	213.01279630118136765	190.62980373342068674	187.05011857500386441	149.96807233620401689
ACAT2	182.91860254305746025	179.54323593700107153	219.35120734478385884	153.86702316625138565	270.32440793682945923	243.43698630990843412	327.57550277615092682	207.96181691294168559	198.77099011766571834	154.68625880793669580
ACD	128.71837614366813796	151.45444455015683616	127.99293138183446672	158.28548990448484801	105.43913185346067962	92.02377794958309210	221.58962622847306534	173.74279215019581102	166.65626958134410529	143.27864563645212570
ACHE	24.11129371446115499	158.43712715530449486	63.00780962831991161	53.68959033221682375	40.74482949785348751	0.65642442798647482	67.66105287931371493	26.91265253389375545	64.26067715937719527	200.67422513341776380
ACO1	330.67543850342616452	290.33824171263051994	365.42704860678219347	210.26226330198511505	466.69858145467611621	470.84928235470107438	321.65171710070671907	327.16651651550432689	302.03808254196053440	361.30445015726417068
ACOT13	361.38192982979097678	340.15012137273441795	291.31553368520104641	374.29547891877183474	251.49800333060491653	238.97654705598617397	263.87185372736541922	345.69569483393860310	292.99241236097998353	244.97359517486555092
ACOT7	130.29795768212426310	120.94003763342304580	150.09734749036047674	119.01671907910446180	57.30480180423244718	0.00000000000000000	577.79446031858606148	142.46466910792474891	115.81768334833436995	111.66535316232435093
ACP2	241.46915369455140876	194.55128226777173950	264.60989084953109796	189.97669469449257917	117.68660478747725051	142.88383553072031873	192.49575023970265875	243.73574455449306697	126.16771498624100900	171.17954337559720557
ACTG2	258.73484272304733622	319.92903640584319191	174.54637396423461837	493.19736961666046682	116.92934688858375125	0.00000000000000000	289.34286178123176114	232.67851425903566565	2015.59303449085746252	1101.46092667983862157
ACVR1	350.19037664394130616	276.58562134516199649	326.19137748020318668	213.26739096694640807	276.02496086155110788	328.68918024834192693	176.07364324455369342	301.94309896194516796	202.33904761376882675	214.44974613504896865
ACYP1	145.03194450267960747	272.78659518449387633	107.81066387959253916	184.76104868926412905	172.61759928092374139	172.37718452410604186	265.28440744237241233	131.41512839115901556	273.86662668594306069	164.82528258868006787
ADA	156.82020750867164338	228.94296438579783626	202.00646988925740288	213.76911770905806520	164.43517108195405285	121.04447150844482906	115.61277399281243561	102.03991708370531910	111.03068340083684973	380.49776287888846582
ADAM12	2087.14020698351305327	660.47437725077134019	1687.38642176619214297	868.00339779997807454	1356.67008103347188808	841.97998105498936638	1546.69434278691164764	1186.72451735709068998	448.65833015746670753	243.54215842162776084
ADAM15	154.62570955602834033	133.05216942599497543	155.96319278130320640	230.89162420322799107	214.60092219355746579	201.73822882752529040	271.16496163500767125	178.22671553540709510	163.68978295957586511	184.19325886071419518
ADAM17	443.94931681659744527	413.51921271927221824	452.68135135480912368	443.25381395636918569	961.23539486775132445	134.01322453824207059	265.14692295225376029	435.05331703809235933	347.18745517876993745	357.64847796783965350
ADAM33	149.64429566532689364	51.03540229908259107	88.23093897700613297	199.78760641869976666	443.44316674556750968	325.12757889677476442	119.68001760855537441	119.52470242149662738	86.51495829531319259	225.85713147651821942
ADAMTS1	913.49934606835086015	3674.93588130759007981	978.44675348963937722	1675.95721744879961079	2472.63629190744723019	207.14614903314301841	1269.38556031627831544	740.76823733500555136	5691.37026150527526625	3467.90003174815547027
ADAMTS10	127.71236527232558444	226.92615118522644480	134.70449279620899574	132.96746536547448159	254.91233393251280859	84.02764909790282388	79.93638425790136637	83.30753511815866830	409.29368169023490509	401.25333286580769254
ADAMTS12	601.70573774657623289	412.70713768308576164	442.72092989020683262	274.48570810069139725	386.60076620848241191	150.21110586614730664	438.48792944488729972	271.85440755114956346	142.21843905943362074	186.60283196204767364
ADAMTS4	881.48918702702837891	3045.41769989418025943	1391.91856524830859598	1247.12800725943270663	2545.42993775524291777	569.96675894353654712	984.25501609228285815	728.62973860835995765	2602.41259186503020828	3431.65134698909378130
ADAMTS5	407.35757394398876841	167.43287244844918860	347.14105676971422554	232.84030340019702976	339.14265404917085789	991.66542401966592024	332.20533056658234727	234.73307458791956037	244.37404893077822976	245.82293087956387012
ADAMTS6	297.46110604204250194	129.64405719290579100	166.36588460749950968	170.98363754323094099	438.51287623443533903	32.56047329735955742	211.21404148941729773	210.62336906742518750	166.74923731461797161	133.54288740130161273
ADAMTS9	126.55099424379632467	820.65339655034551924	138.27782534271139525	283.00478811274263080	652.71293156139233815	0.00000000000000000	281.07905201275536911	129.84112521287912045	738.92049162029900344	347.48844096851337326
ADAMTSL4	131.30322607018942449	89.15721211636231658	74.76606482604442760	118.02446392931364016	307.74557217770143325	383.76283616373689256	93.35001247474230013	111.51401100007385025	99.72050739763351146	99.11516727377811264
