"Dataset","Method","CAFtype","Correlation","RMSE"
"Breast","CIBERSORTx","mCAF",-0.0812840054481879,0.144969195977112
"Breast","CIBERSORTx","iCAF",-0.00415583622087134,0.164574244988361
"Breast","CIBERSORTx","vCAF",0.0839401763938498,0.0692596099450761
"Breast","CIBERSORTx","Pericyte",0.0537958512148847,0.0505339573932723
"Breast","CIBERSORTx","tpCAF",0.0733245100876939,0.0321885258578483
"Breast","CIBERSORTx","hsp_tpCAF",0.0680324107612286,0.0422956163964979
"Breast","CIBERSORTx","IDO_CAF",-0.00981393356506574,0.0331182021885296
"Breast","CIBERSORTx","apCAF",0.0646439770600341,0.0301297188521033
"Breast","CIBERSORTx","rCAF",-0.0131598000499047,0.0196989380632339
"Breast","CIBERSORTx","dCAF",-0.0107026261304662,0.0941872845370905
"Lung","CIBERSORTx","mCAF",-0.00933353415071337,0.204640871438557
"Lung","CIBERSORTx","tpCAF",0.325074545377741,0.0597911185226595
"Lung","CIBERSORTx","rCAF",0.883983095339304,0.0167300917475177
"Lung","CIBERSORTx","iCAF",0.248549967682235,0.119900044183009
"Lung","CIBERSORTx","apCAF",-0.368266722982826,0.114194378956936
"Lung","CIBERSORTx","Pericyte",-0.218305088513202,0.0939387317420279
"Lung","CIBERSORTx","vCAF",0.248557096237087,0.0379677463137622
