GeneSymbol	mirror_db_sample1	mirror_db_sample2	mirror_db_sample3	mirror_db_sample4	mirror_db_sample5	mirror_db_sample6	mirror_db_sample7	mirror_db_sample8	mirror_db_sample9	mirror_db_sample10	mirror_db_sample11	mirror_db_sample12	mirror_db_sample13	mirror_db_sample14	mirror_db_sample15	mirror_db_sample16	mirror_db_sample17	mirror_db_sample18	mirror_db_sample19	mirror_db_sample20	mirror_db_sample21	mirror_db_sample22	mirror_db_sample23	mirror_db_sample24	mirror_db_sample25	mirror_db_sample26	mirror_db_sample27	mirror_db_sample28	mirror_db_sample29	mirror_db_sample30	mirror_db_sample31	mirror_db_sample32	mirror_db_sample33	mirror_db_sample34	mirror_db_sample35	mirror_db_sample36	mirror_db_sample37	mirror_db_sample38	mirror_db_sample39	mirror_db_sample40	mirror_db_sample41	mirror_db_sample42	mirror_db_sample43	mirror_db_sample44	mirror_db_sample45	mirror_db_sample46	mirror_db_sample47	mirror_db_sample48	mirror_db_sample49	mirror_db_sample50	mirror_db_sample51	mirror_db_sample52	mirror_db_sample53	mirror_db_sample54	mirror_db_sample55	mirror_db_sample56	mirror_db_sample57	mirror_db_sample58	mirror_db_sample59	mirror_db_sample60	mirror_db_sample61	mirror_db_sample62	mirror_db_sample63	mirror_db_sample64	mirror_db_sample65	mirror_db_sample66	mirror_db_sample67	mirror_db_sample68	mirror_db_sample69	mirror_db_sample70	mirror_db_sample71	mirror_db_sample72	mirror_db_sample73	mirror_db_sample74	mirror_db_sample75	mirror_db_sample76	mirror_db_sample77	mirror_db_sample78	mirror_db_sample79	mirror_db_sample80	mirror_db_sample81	mirror_db_sample82	mirror_db_sample83	mirror_db_sample84	mirror_db_sample85	mirror_db_sample86	mirror_db_sample87	mirror_db_sample88	mirror_db_sample89	mirror_db_sample90	mirror_db_sample91	mirror_db_sample92	mirror_db_sample93	mirror_db_sample94	mirror_db_sample95	mirror_db_sample96	mirror_db_sample97	mirror_db_sample98	mirror_db_sample99	mirror_db_sample100
A4GALT	444.913434244477	377.156617219975	327.705173607649	438.998916893179	421.971407041479	254.18142259955	388.332017326123	332.563688104472	319.932433820962	365.666636857841	306.075021030516	435.044145933059	379.379281050167	263.171330316595	320.194346010631	268.846515842672	190.831743798793	309.315948315968	324.189569854442	308.087055604172	287.882544741859	423.426913272215	401.549437131435	339.6389324229	250.766975154397	291.283087323475	477.53248842997	233.219000748041	271.605209641568	391.166911306697	366.689815615403	256.23352593514	416.095584574205	308.781758914652	242.329911850248	298.244358276189	302.158952105214	241.387387552704	294.125056042266	372.32147443251	344.439377713541	310.502806201853	364.533906896458	320.778658589727	239.344264864188	362.810064812351	258.839535275702	262.818946648402	380.78207404235	211.202968891656	330.507689055915	321.432466987667	315.945787103807	267.966642283943	503.402517293246	253.986922006659	310.41852008844	312.030611181051	427.501278366497	295.790934069079	310.003262574724	358.323601221937	335.235141442732	352.501519256661	462.520055225071	277.147504407789	386.25671280281	275.579570556667	177.823607334297	285.191143618151	334.012765145465	296.40622794979	295.920499508271	287.682856346301	258.068143225304	314.976232814415	422.167088784071	316.674130920714	297.854599577055	290.214894697989	200.159112173355	440.418245940921	360.959461446308	322.46531662316	269.186802705845	216.264286580173	269.627664347816	434.292581151292	462.541826625227	276.353814090294	376.74159980084	229.747657892215	237.755698151919	365.985494763992	317.285764580798	295.923516236315	329.673080578629	257.538782704182	352.709497353224	544.479063927558
AAMDC	289.044262065277	395.422472439708	431.843904895921	441.854986391969	369.828634052582	484.490631059189	409.015780734273	428.081321569193	291.292112397248	445.716463666244	531.958018452592	289.752838101663	446.190399003741	419.270374348104	568.698246277273	451.235367555553	488.838233237753	457.170381005647	352.89204304722	446.098300992457	582.934352406407	339.595244406087	375.369313493219	409.602795469692	304.051623636605	345.664002052479	509.993515741678	289.427659443772	460.167021418231	450.018790316956	463.645082949028	450.317499450594	491.890140908003	294.313261288706	451.99243158951	336.221565771171	554.249945274437	506.010017283273	466.077577971138	432.888286104834	464.739301357601	404.439151256378	388.440649572272	556.667811122578	457.702528341685	368.527246691029	472.230820998454	461.754423315709	425.08668195899	441.892088005624	470.782263052788	384.772984176069	530.455620342988	313.585902632628	371.543567439086	434.410826980245	330.997264330305	387.318305901291	466.58711171392	401.913655021801	338.88355899305	487.852503492653	470.918329891632	402.661912633175	366.647489799495	322.518631268265	412.866282992136	288.243614263656	378.241260748499	475.559088068861	379.913712862022	412.008001722829	461.253641031253	373.217853234711	323.779068310484	247.699895262001	540.083652180466	417.701732429308	438.56560584308	403.42059965228	527.278029384374	473.26627435305	286.563836821946	449.263805635088	480.229478722893	346.469275891261	407.010327694417	420.978745288868	683.712829383936	417.926195198911	626.015107561932	566.694807945042	443.132136221802	444.88711672751	480.690133215916	353.027932705921	408.850502695363	399.765834127456	462.729790305423	321.90570698449
AARSD1	254.170152329716	288.647335311955	178.976747332367	246.517468052875	196.765148719643	125.220685793965	263.04432667564	303.743836233065	208.448544837469	261.592885960799	168.227543304412	230.280280518228	213.796138536005	203.60790741175	193.60191282786	335.312100292992	222.776264027141	287.195430123795	246.433233689177	180.968036701215	308.700361968862	219.244108738988	233.206474834106	149.49869315499	229.509826150533	230.674592189105	239.356668954007	261.299202794452	299.857543869684	307.260220235111	233.580797817608	182.135664740322	151.384141357646	258.872739467096	176.781210854077	154.587699843511	208.833271326275	146.56136448963	237.548716637303	276.540813367279	223.217913974607	264.649932006972	281.387490042266	292.711270392866	317.730233610788	191.112156509556	211.119746236424	344.508115521424	195.563789636045	225.475434342514	310.250848118433	266.176860294973	184.156234253018	320.421094318631	278.308506744533	201.108035407787	383.077611422564	280.669330395891	204.064091869287	240.501344353096	163.161301416991	253.330430878161	125.951122915031	168.676412875082	258.282676080065	210.463897443275	154.362717699865	171.012116854456	242.951473892222	290.143511033981	210.491356378331	233.519119889992	294.26984739676	183.43252128177	188.985966367746	156.553350970046	258.881365611709	216.489003480007	319.381229727515	253.740181690532	161.830043118898	271.838759860618	173.842683172134	198.250647602958	350.961390025378	197.281319369707	233.916412163856	286.363655088877	144.87163101603	213.732104370766	223.283872413136	328.651296231345	179.615826135298	232.311869302816	196.341896601624	229.677663996253	186.211162983053	312.917644080553	273.769852560183	191.506268295536
AASS	185.26729799092	196.227384151468	229.284593355969	169.707322438173	230.740621694147	215.52583146266	246.197188911713	198.966109504028	215.130626601238	239.090161380587	160.764805380002	284.541685110408	221.587688128985	201.326426600588	244.274446647463	204.549908208438	128.731999560473	239.698645511311	162.007573388341	181.974345231538	228.729626152115	162.880193094284	172.759425829877	192.053071315625	223.091096394271	184.562592151005	252.857543172646	180.570276805188	169.724086521707	273.02151353244	242.597733435773	215.417223544794	254.788328178845	195.967924525778	184.186342024721	164.281137345105	208.564026938601	218.669545989938	159.683570951325	264.881591424698	225.339744738791	337.008892722702	255.398915107732	192.924596555019	251.773032009153	166.076721632035	188.110782595968	180.234231329023	162.583910706141	193.978116338232	182.179878853289	267.452073088491	196.038300940808	237.239414267177	219.682004447475	240.184608481209	245.677244344213	233.416949810781	251.90400191975	141.525799091231	185.542614149795	270.649631090622	196.930405650763	217.802794634434	252.461720753168	240.381939296958	229.522864197592	212.678724337972	266.946428135711	191.695292133162	195.989211889261	242.477819747393	202.607833004027	211.35840270518	194.916974051474	136.714110442734	215.231133117082	186.832564255641	221.905452384514	252.77759136427	213.690609108986	204.829809289782	156.941770231842	196.974275792811	229.426339024879	162.492164522331	191.069342338127	349.59496610563	283.78382624817	215.094474195059	295.5804338005	260.387097096574	200.797112744865	245.50847287262	255.134521428928	193.469383893783	221.811203879873	236.885211010897	204.187135725754	192.061902441865
AATF	166.333045077263	408.695540029329	228.450468223422	235.08909682315	425.362383805379	390.112981235167	322.190136663269	265.47599816402	278.930651922044	268.60825513452	319.335911186499	126.831467010706	190.920202372221	451.226876698099	262.839295189968	171.737203111306	300.821230489807	188.282053551525	295.56861538031	445.50269813067	199.807046332057	228.922548350788	175.146883682699	249.931075698096	399.078306595869	371.112708223386	290.770220333948	488.073468135655	161.316380118891	259.521904920706	198.787359404495	355.861878030141	391.392550419181	346.741261401834	207.879213139369	189.186838803263	309.665088124369	253.23416905769	110.36254863871	179.489762857874	298.788773748915	422.075958338528	306.426893289741	191.428886066764	280.007492641435	162.1717817267	248.254120203859	362.550219742618	293.552936601688	227.710053908424	273.505591161126	146.169560712073	158.208491514573	180.911728381348	290.636200238694	282.791577988878	352.141780962978	254.500050033122	360.139371613937	213.151033186216	202.571550278125	193.874344081523	154.157491747053	299.861193910441	288.958034245218	230.470726385065	257.237790306452	288.791871649203	342.607739279864	252.661896255511	165.054959425746	294.82176536542	215.034010340293	326.011268582964	207.127607072059	199.164335840027	254.558891027892	231.293747359023	264.875097771151	216.63311589915	194.840049894909	164.460200050918	197.103159877068	197.171188284065	232.690461022125	175.974959841702	270.467877977742	242.09547731614	261.010905836295	184.540564784373	312.990706336651	215.183993603555	299.660486484514	200.876718538556	375.48635355658	241.19533181859	347.690077190841	392.887428983894	173.270081123566	272.140869491222
ABCA1	137.60037475708	143.194688302401	196.750873837549	169.093968205005	166.952133932729	237.667789876845	170.975649782141	295.780005151513	174.503977471691	291.694845118495	202.175492009738	195.37279969133	190.626290236989	195.875964516628	143.29446804098	255.865904327767	88.0316364612421	146.136790440776	165.914535800917	219.998362371165	130.59409392023	146.366876962131	190.037893537194	195.711862617576	290.097528020992	443.620419975707	321.511290159195	253.645510518238	189.74481022135	286.90267170807	198.572471245566	128.861657102672	237.850778858935	258.147744212359	306.384895249926	117.505787538247	334.406636120569	146.449057122947	134.420021832905	144.876661525398	203.246499943347	177.804775933869	143.157715206935	289.68812500277	151.21852667949	218.840046945448	247.572536785868	230.000818646631	212.536648322938	235.247054924503	231.407565409003	232.708066647036	116.786695094781	254.682688472453	83.4723597458828	172.200193587199	172.726735676898	237.001175648853	172.643492512536	218.90915562685	228.837091500425	190.959718665807	292.871662488592	97.12729997985	105.503901388325	317.326593876346	285.992609685436	230.241859582489	219.467298354667	252.154753729985	112.630555263016	223.611980494148	236.554955142217	137.947082818421	234.986859505235	106.732158445942	137.559846617022	213.875473922948	199.671382925576	125.257472794156	95.6222736624028	206.096788044793	193.780165446281	219.248864531637	218.042478278083	195.855813392004	140.596761694813	124.765141186577	277.074399580322	134.35052239899	222.184625432857	167.198849806073	193.264544279933	263.759872516002	368.637902507873	210.988789226573	164.794305641009	113.385207600775	197.226145103686	183.090600732044
ABCA6	258.615856900563	234.370468493553	207.420753165738	161.72526359907	195.255573291923	283.339004489706	261.995039181669	175.850176882015	224.352659499211	518.014857457501	226.270333995605	291.002629719733	285.656693905154	188.18367971043	222.942781253292	144.063037578461	131.769272009526	54.4706184596649	211.732223639149	403.655142838528	282.074511841774	294.690860768823	764.944414297228	275.7564378884	184.077744966284	191.229907404622	216.986078835099	182.834846806574	242.495030952469	417.662150752185	169.527916737302	149.707936728581	410.194259779722	95.4348865888646	270.695662948039	99.6706028198269	183.794839501945	192.45388327379	197.685892578973	224.466098693793	282.600948118318	425.835045983161	340.812486887929	242.446488808155	351.418336601909	181.490075149878	271.651520643514	305.677600722065	324.369217866717	260.5236347416	245.681252984367	208.29325129237	129.172868462155	180.802697035919	307.340123730889	142.974397370471	437.243622227757	217.662631770214	307.399814108392	214.552831586946	157.804565276592	490.539282673186	206.95803758636	211.302350637044	479.460110518589	261.922912701042	130.324339479325	72.6241881182799	255.857586987757	204.183640211934	117.960548253386	169.461316977625	171.862931103429	167.243546661838	79.2315853378647	265.386049371101	221.099039617399	198.421953676192	181.621536777499	289.856158385334	158.405843006025	587.492748422146	169.982060656097	288.147728995453	251.142304461977	87.3881574380929	480.386261781054	273.174006298241	248.963586169285	215.84657344649	201.216136161019	198.239067898835	216.174243272359	195.129417840537	325.156436732034	183.540433470583	241.886557139354	153.89613678388	216.137225911765	207.464379470599
ABCA8	107.771639222545	228.116233731257	125.356769431414	42.6897927871538	49.7716336111341	88.5960258529717	110.568675248181	42.2758277564519	79.678694773989	329.340357611706	55.2919065235736	123.389989328875	76.9422669369376	298.54905388692	259.492669733676	91.7556263605705	32.4934193588148	76.7430230341172	113.263789257276	81.104178946748	66.8687891089676	252.066860363232	93.305497961192	82.1900093053649	51.7127278908824	159.575136675411	76.5818919010679	133.643585337181	278.055367855916	166.001992632452	159.95865108332	51.5255346484217	158.179966798035	148.631066866247	109.665676378426	46.9494771684777	143.584894412345	152.804894785016	80.0111492634258	79.8441103754128	74.3256771426057	107.29848364514	112.502486147277	93.8939480669506	62.3525459806926	132.644018037228	101.502166000987	97.9533369617697	106.433369904497	87.698194547687	171.248017676914	122.991287746668	65.5846136083714	45.2430858651077	147.943789727579	346.072294325005	269.878505236321	145.36339279943	117.117534566147	55.2188141874943	115.67100544501	530.78491948931	49.321887611023	65.2873714373142	316.806603076696	186.677401228169	134.580572880996	34.0358860805217	77.051868065699	199.615390497347	141.938212741744	108.617114341535	47.514800646614	122.893960070295	89.6389622114057	34.2492258034798	118.269883946919	60.3058427437265	168.895470638251	97.3134159659825	32.8633519102718	200.375915335232	55.6054619925314	68.8600820531084	159.059782472401	65.7330420025835	164.219843126681	211.716088343927	85.4250255804945	57.8628977496347	180.665297511026	91.9393792253528	71.8902991171479	98.3583692010903	347.464450868894	64.9607566452675	185.796969917873	134.324534804891	129.030951605675	26.0041495653952
ABCC9	185.548394212618	143.528041589885	276.481760171359	348.821725678187	204.960465574094	220.626135343607	454.824155861999	124.511995682732	250.976320991843	322.090628873513	141.812001985928	251.762595547443	228.848558659418	249.069423839651	690.528269200107	307.236764262191	627.437114686888	689.932878699877	114.87869812544	189.044599043352	143.674937656396	425.312935850755	287.256398373228	304.797034661259	201.975357872883	202.98776610847	464.691381009223	204.143323870994	143.492457120427	336.148296173072	427.48489290099	191.131718215635	446.172620709609	97.861631902066	350.32532106786	235.722892486358	630.341116529885	334.22161170431	235.833888941636	618.302003090806	241.055877504046	458.408983827477	527.378637355859	443.486138461882	257.25526047225	149.662161622259	122.457141901274	226.878088447745	405.308412572128	234.53916163255	185.79750779842	435.366315852526	129.079554417613	323.295568989142	137.138317234786	341.402534945507	168.867576143503	367.727187529775	437.295528616862	108.733295547929	108.482797038151	213.631224600384	265.198999933129	306.059996729934	535.188893839618	307.212431562372	265.958396385795	242.872849704815	177.835807835118	144.652110046657	391.973538447102	490.043400204943	168.921227382436	429.255036393585	244.776283403051	135.835962057388	445.865819348382	715.760339246157	655.052587875802	248.835360242398	316.449980474404	407.778513545834	425.574922623804	297.530943591029	176.705599792105	216.373475608996	143.372656663381	330.125447845661	258.725759524913	194.334566872031	312.837438965313	417.012007419283	303.953210187574	230.744412300788	181.689675338045	263.055998466315	235.940731923476	459.181301838513	252.22693664234	354.679896962455
ABCE1	296.815008838316	320.741633790114	255.912015224174	364.821527921579	266.831292001315	239.744737209384	282.536165953705	290.115556519572	285.767118863397	417.645334573541	271.703353131292	318.164917578091	252.919003251762	351.864179169319	298.961124086859	395.291912621877	509.671772516752	340.261256401703	284.42022230609	291.635057540252	291.142963106176	287.813239208405	294.518966636469	312.440331029842	384.716352197299	314.194921702499	248.891653145052	333.534839939279	365.25128280618	372.108319405826	313.545221628136	327.365885251001	212.675939698882	308.548951601027	274.061298419728	272.932417529863	334.015659888783	247.797358549817	312.354406064058	227.033663069482	257.076068855014	296.561198901569	275.050285172083	350.244377817177	292.62379694087	349.547908421687	363.808477592855	374.457227203271	253.011725008313	306.821019689041	412.675576094646	327.883591633994	325.266833213075	344.412179883461	406.302928446575	359.074653581938	416.905145254384	358.94886137303	241.515227034887	361.931448912224	270.960140266706	262.482479155527	246.534751835219	257.253651138222	371.577509127893	292.410908280672	213.426580285934	285.393368396313	312.482932026582	340.960013835775	261.52530247131	272.852100664836	290.691821839406	291.851039353022	411.670646207278	326.616336942921	351.967914558167	307.945735580873	332.43933535906	297.431794677731	319.457249133605	308.483001693641	302.41908606352	347.778368585755	382.09826710672	422.697784532507	298.336149293172	340.067995028496	234.214234350022	383.294800696973	283.071874140294	396.720645495769	271.247499152577	257.386703547254	287.89966679719	318.763012448127	336.387306742458	352.580782538604	341.135728729676	336.687900361741
