Method,Dataset,CAFtype,Correlation,RMSE
DWLS,Breast,IDO_CAF,0.0134388742081844,0.026509545119261
DWLS,Breast,Pericyte,0.147337539563743,0.0264341150847501
DWLS,Breast,apCAF,0.0761931270897023,0.0456966315103607
DWLS,Breast,dCAF,-0.0456703187541287,0.0208521388208778
DWLS,Breast,hsp_tpCAF,-0.193549957584443,0.0453095356026402
DWLS,Breast,iCAF,-0.17351991225971,0.0369356038952707
DWLS,Breast,mCAF,-0.11072832769801,0.109679422521526
DWLS,Breast,rCAF,-0.100150704841155,0.0162797720031931
DWLS,Breast,tpCAF,0.052151599479033,0.0375917934935864
DWLS,Breast,vCAF,0.0940329336786267,0.052547171859419
DWLS,Lung,Pericyte,0.463245048362127,0.0407843840020848
DWLS,Lung,apCAF,0.882525391253607,0.0179343122791005
DWLS,Lung,iCAF,0.493543667383333,0.0662272778189238
DWLS,Lung,mCAF,0.389544784508035,0.0307298059663354
DWLS,Lung,rCAF,0.88840934789815,0.00669995426526073
DWLS,Lung,tpCAF,0.444725871931743,0.0479338209625685
DWLS,Lung,vCAF,0.531812907381691,0.0267000371627767
InstaPrism,Breast,IDO_CAF,-0.0367142668136212,0.0660113316912523
InstaPrism,Breast,Pericyte,0.125178443112628,0.0753868313986485
InstaPrism,Breast,apCAF,0.0319888793873131,0.0300194024353432
InstaPrism,Breast,dCAF,-0.0153124521753352,0.0775051198542661
InstaPrism,Breast,hsp_tpCAF,-0.0786024583682681,0.0279424887331905
InstaPrism,Breast,iCAF,-0.194837533912204,0.0276126208655953
InstaPrism,Breast,mCAF,-0.139662869820657,0.0781104759209525
InstaPrism,Breast,rCAF,-0.0703827287528981,0.0109714795211547
InstaPrism,Breast,tpCAF,0.120850113754703,0.0212498889118003
InstaPrism,Breast,vCAF,0.0964132509093831,0.101642999007831
InstaPrism,Lung,Pericyte,0.400407739402655,0.0815437504018446
InstaPrism,Lung,apCAF,0.915487286493195,0.0261749439873298
InstaPrism,Lung,iCAF,0.564991774640019,0.166300773311038
InstaPrism,Lung,mCAF,0.422816797762907,0.0281393597675941
InstaPrism,Lung,rCAF,0.896340626986512,0.00927315526397075
InstaPrism,Lung,tpCAF,0.389582024429687,0.103019736989094
InstaPrism,Lung,vCAF,0.407080132358552,0.0205304047954
CIBERSORTx,Breast,IDO_CAF,-0.00981393356506574,0.0331182021885296
CIBERSORTx,Breast,Pericyte,0.0537958512148847,0.0505339573932723
CIBERSORTx,Breast,apCAF,0.0646439770600341,0.0301297188521033
CIBERSORTx,Breast,dCAF,-0.0107026261304662,0.0941872845370905
CIBERSORTx,Breast,hsp_tpCAF,0.0680324107612286,0.0422956163964979
CIBERSORTx,Breast,iCAF,-0.00415583622087134,0.164574244988361
CIBERSORTx,Breast,mCAF,-0.0812840054481879,0.144969195977112
CIBERSORTx,Breast,rCAF,-0.0131598000499047,0.0196989380632339
CIBERSORTx,Breast,tpCAF,0.0733245100876939,0.0321885258578483
CIBERSORTx,Breast,vCAF,0.0839401763938498,0.0692596099450761
CIBERSORTx,Lung,Pericyte,-0.218305088513202,0.0939387317420279
CIBERSORTx,Lung,apCAF,-0.368266722982826,0.114194378956936
CIBERSORTx,Lung,iCAF,0.248549967682235,0.119900044183009
CIBERSORTx,Lung,mCAF,-0.00933353415071337,0.204640871438557
CIBERSORTx,Lung,rCAF,0.883983095339304,0.0167300917475177
CIBERSORTx,Lung,tpCAF,0.325074545377741,0.0597911185226595
CIBERSORTx,Lung,vCAF,0.248557096237087,0.0379677463137622
