"","apCAF","dCAF","hsp_tpCAF","iCAF","IDO_CAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample1",5.73700266327754e-05,0.0311168641895976,0,0.227039581710696,0.0738045870168493,0.377731906111004,0.106913662925816,0.0104092020375949,0.00891122951047428,0.164015596471334
"mirror_db_sample2",0.00125674940352065,0.021715178174614,0.0160314557712306,0.219538024074392,0.0878637800159793,0.361061841128584,0.137796661707491,0.0125963614694202,0.00482680039459331,0.137313147860175
"mirror_db_sample3",1.04740566108129e-22,0.00859122646090998,0,0.241996089956387,0.0807643347049409,0.367615452924006,0.130906435188871,0.0164389184116071,0.0251640926266167,0.128523449726661
"mirror_db_sample4",0.000704941855441796,0.0103526771927299,0,0.245046881282508,0.030275058626093,0.394596350324647,0.156864750677384,0.0187620010994192,0.0287938815506307,0.114603457391146
"mirror_db_sample5",0.0023003445186255,0.0415656622377729,0.0404691075354979,0.187042028918863,0.0664519695350426,0.385551679610709,0.0974667515664104,0.0349563727306887,0.0135956244093912,0.130600458936999
"mirror_db_sample6",0.00273557415513985,0.0182818370558448,0.00429930013969178,0.238887711911734,0.0681829149181699,0.409294561286216,0.107254260979759,0.0217693384568352,0.00324026210330673,0.126054238993303
"mirror_db_sample7",0.0473269672764897,0.0290879662408987,1.9412190916109e-20,0.225810390443818,0.0694393265404907,0.39067716357613,0.114347926330201,0.0157643842389774,0.00346227119163974,0.104083604161355
"mirror_db_sample8",0.00233593233415226,0.0288599069814359,0.0283665163933214,0.231403365342366,0.0625436457257564,0.337630119779481,0.143232188956639,0.0288281390189318,0.0218866994804515,0.114913485987465
"mirror_db_sample9",0,0.00416345421035977,2.15132559835052e-05,0.237445781792522,0.0496897327351306,0.423092776370427,0.103392787304668,0.0144212611119838,0.0147648479035422,0.153007845315382
"mirror_db_sample10",0.00219727943330506,0.011339046056651,5.66091067737456e-18,0.269597420332772,0.0517908123223842,0.427652720032417,0.105065845989352,0.0019320115978238,5.17424800842548e-20,0.130424864235295
"mirror_db_sample11",0.0196113496649601,0.00741283439136201,1.09826915751494e-21,0.237705602864836,0.0657090903795643,0.324287495998659,0.141942912030011,0.0338009204685011,0.0163313903015435,0.153198403900564
"mirror_db_sample12",0.00280359385784053,0.0267732718808812,8.91348815920781e-07,0.280910782987508,0.0178282088712318,0.398595452618762,0.0958903573816022,0.0248870196903964,0.0018272164079251,0.150483204955036
"mirror_db_sample13",0.117083598712341,4.71765913564885e-05,0,0.223224468106982,0.0523222243403324,0.351559635033233,0.124131134335846,3.51861120730139e-05,0.0105782250113946,0.121018351756442
"mirror_db_sample14",0,0.00993460681575565,0,0.253865148014617,0.0370606453930676,0.38121078140361,0.126610831875822,0.0280424422036938,0.00529056654746266,0.157984977745972
"mirror_db_sample15",0.104681600880161,0.0387817225831872,7.07741634718821e-18,0.209142879017271,0.0511026582986626,0.325776481322074,0.106785877351788,0.00714085801283307,0.0109844120309093,0.145603510503113
"mirror_db_sample16",0.0216843098620849,0.0152100130217073,0.0383170480724066,0.258631065003784,0.0595242380154689,0.380197428349683,0.128935819279671,1.43529094965872e-07,0,0.0974999348660991
"mirror_db_sample17",0.0240883206265072,0.0475321608753779,0,0.240391005911039,0.0195667395522543,0.353901912881149,0.129797921966294,0.0212435575588314,0.0665367556184544,0.0969416250100922
"mirror_db_sample18",0.0308820986211964,0.0200378022466924,1.58424957117063e-18,0.238062014269354,0.0297219210351653,0.401666719079231,0.115091840395562,0.0122143905741847,0.0180387643583449,0.13428444942027
"mirror_db_sample19",0.0354582585025575,0.0212485015740224,5.42313188915213e-20,0.223149868484726,0.0633606118658043,0.376019255338523,0.126826382028074,0.0146551962137382,0.0192975028577166,0.119984423134838
"mirror_db_sample20",0.181385143913012,0.0383968499511197,0,0.184802633594299,0.0541966861998234,0.307283858811903,0.120056376934598,4.71257179421176e-05,8.5482744381956e-21,0.113831324877302
"mirror_db_sample21",0.00138481700501998,0.0216524057592952,0.1440386266357,0.190058299694367,0.0337035178446748,0.363992260762857,0.115982093360433,0.00994371606234353,0.00528518818405345,0.113959074691256
"mirror_db_sample22",1.0909206143016e-21,0.0300895175434674,1.84341770419382e-18,0.266716345203114,0.0394660072766993,0.378712012115778,0.101915306780169,0.00556506374807859,0.017692652861194,0.159843094471499
"mirror_db_sample23",0.00359285556847142,0.03277072276346,0,0.23823528458998,0.077639749984792,0.3819703481607,0.11365006961921,0.0301116049166201,0.00730914591637333,0.114720218480393
"mirror_db_sample24",0,0.013605646610794,2.91573817848424e-19,0.225976977320571,0.0510855222268861,0.41312033275686,0.14911167918536,0.00446736143504585,0.0308970124483714,0.111735468016111
"mirror_db_sample25",0.106987036134438,0.00722639230467177,3.90759591185509e-18,0.218982330276506,0.0464220586372076,0.368968081480957,0.124031513010627,0.019745361925483,0.0105381137797921,0.0970991124503175
"mirror_db_sample26",0.115244854538192,0.0266438034647258,1.29575215574176e-17,0.213634996438682,0.0704603113590551,0.337479130483482,0.109607841533693,0.0254223148165809,0.00111488803917566,0.100391859326414
"mirror_db_sample27",0.00324032020875218,0.0331964395184068,0.0824856696501828,0.175246431452265,0.0787292880291583,0.331553321049034,0.137836907699664,0.00764286206038876,1.0358723586365e-07,0.150068656744913
"mirror_db_sample28",1.53248725621728e-05,0.0397896627530498,0.0458603911843178,0.219752598389048,0.0499516945505068,0.38486897410068,0.129144231842308,0.00465075642858188,1.80101462749075e-05,0.12594835573267
"mirror_db_sample29",0.0396960308018093,0.000173656510808203,3.52036071283435e-06,0.223749427593559,0.0829950402165729,0.344680513471691,0.157515360508827,0.0131094322979347,0.0113167180760526,0.126760300162032
"mirror_db_sample30",0.0255302652162189,0.00413174404870853,0,0.22298345317686,0.0858469510659897,0.428628718199114,0.123554916851618,0.00825791878096789,0.0047942947839556,0.0962717378765677
"mirror_db_sample31",0.0553159259415705,0.0361250956175871,0,0.203467841987874,0.0393185410808054,0.397255711796764,0.143826298194013,2.92324939244744e-22,0.0104914757924475,0.114199109588939
"mirror_db_sample32",0.0825550102516825,0.0286944997837779,4.53298599720945e-21,0.23577178996127,0.0258003920547164,0.362832356534898,0.121139328752432,0.0189557077343034,0.00985970041856275,0.114391214508358
"mirror_db_sample33",0.0428283225921138,0.0204875425354085,3.00031118152925e-21,0.227343357666896,0.0326215358778975,0.373962117099109,0.132240410567705,0.0252034421684153,0.00538157136511032,0.139931700127345
"mirror_db_sample34",0.0614429740028863,0.0218191545425524,0,0.222617094843448,0.0469545137026674,0.390975365005508,0.1031967280028,0.0181469701899899,0.00581812223224385,0.129029077477903
"mirror_db_sample35",0,0.0283420024490085,0.059898923693421,0.204321523608633,0.0391815424515725,0.388281672812973,0.143637532189314,0.00907404626018295,3.54778462665391e-05,0.127227278688629
"mirror_db_sample36",0.100491701774376,0.0340974146092778,4.68228784635635e-21,0.225690749723861,0.0407561856550122,0.321419389080735,0.0920564733840022,0.0147948494599703,0.0325852973139936,0.138107938998772
"mirror_db_sample37",0.0512113004348508,0.050696742702502,0,0.237055251850305,0.0584236803444312,0.325226919621389,0.145974570996362,0.00388667448823886,0.0370606907659374,0.0904641687959839
"mirror_db_sample38",0.0307522738570778,0.0222532166031918,1.87457597409062e-19,0.218266646876649,0.0341817251470118,0.386870058908382,0.169595523908181,0.00899659009877896,0.0141850664216375,0.11489889817909
"mirror_db_sample39",0.0238546213751357,0.0252426782916987,0.0288877791376131,0.252848255875724,0.0530612846689825,0.353729272052315,0.106201264699949,0.0138614794233784,0.00600907064288592,0.136304293832318
"mirror_db_sample40",7.13583399638336e-23,0.0303515645106089,0,0.241018622722128,0.0496119735217447,0.390653770522056,0.119158959587288,0.0140321399689725,0.0271246032447688,0.128048365922433
"mirror_db_sample41",0.00843481236611401,0.0128625038402455,0,0.260021806291974,0.0998756466459623,0.330514928899452,0.138487077802168,0.0042212322672474,1.50158538815342e-05,0.145566976032955
"mirror_db_sample42",0.0026886048314872,0.0112822223190891,0.0651920930780659,0.295930059083459,0.0845658325749752,0.293422527308016,0.118272932056509,2.79787570938887e-21,5.05826939017316e-05,0.128595146054497
"mirror_db_sample43",0.0371379494602705,0.0143614138163806,2.0245173704194e-20,0.261691599805381,0.0521725862837146,0.345261525769586,0.121574667107692,0.0176671162301407,0.0119862901893159,0.138146851337518
"mirror_db_sample44",0.00229900060261332,0.0302847952138402,0.167453496974091,0.16971070398619,0.0437126414958226,0.352531643321233,0.116662159729823,0.0193578006468368,5.43048353848147e-06,0.0979823275460121
