"Dataset","Method","CAFtype","Correlation","RMSE"
"Breast","DWLS","mCAF",-0.11072832769801,0.109679422521526
"Breast","DWLS","iCAF",-0.17351991225971,0.0369356038952707
"Breast","DWLS","vCAF",0.0940329336786267,0.052547171859419
"Breast","DWLS","Pericyte",0.147337539563743,0.0264341150847501
"Breast","DWLS","tpCAF",0.052151599479033,0.0375917934935864
"Breast","DWLS","hsp_tpCAF",-0.193549957584443,0.0453095356026402
"Breast","DWLS","IDO_CAF",0.0134388742081844,0.026509545119261
"Breast","DWLS","apCAF",0.0761931270897023,0.0456966315103607
"Breast","DWLS","rCAF",-0.100150704841155,0.0162797720031931
"Breast","DWLS","dCAF",-0.0456703187541287,0.0208521388208778
"Lung","DWLS","mCAF",0.389544784508035,0.0307298059663354
"Lung","DWLS","tpCAF",0.444725871931743,0.0479338209625685
"Lung","DWLS","rCAF",0.88840934789815,0.00669995426526073
"Lung","DWLS","iCAF",0.493543667383333,0.0662272778189238
"Lung","DWLS","apCAF",0.882525391253607,0.0179343122791005
"Lung","DWLS","Pericyte",0.463245048362127,0.0407843840020848
"Lung","DWLS","vCAF",0.531812907381691,0.0267000371627767
