"","apCAF","iCAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample1",0.0301402918491837,0.311320176052418,0.3746063105881,0.104643212182249,0.00981658734998901,0.107987758763047,0.061485663215013
"mirror_db_sample2",5.62172334874437e-06,0.34153572956971,0.340386799396318,0.102191541915719,0.0189680073137335,0.14189546544669,0.0550168346344812
"mirror_db_sample3",0.0231841569655552,0.362379618322434,0.311906721768783,0.0947554612284649,0.0118944245546772,0.136390675610667,0.0594889415494192
"mirror_db_sample4",0.0121836705167856,0.331877428564931,0.326558335100384,0.129617436216591,0.00134055848564263,0.150619110617487,0.0478034604981792
"mirror_db_sample5",0.046441437623343,0.237863931965921,0.345858765882581,0.0959242314743592,0.00324320113683958,0.248051098853552,0.022617333063403
"mirror_db_sample6",0.0435473730465607,0.336768124842849,0.310725431171642,0.0941857360534704,0.00640868497141361,0.19310535018768,0.0152592997263854
"mirror_db_sample7",0.0149778814777538,0.373392295754842,0.325926865311388,0.115338964423624,0.00999714418560372,0.122960922228894,0.0374059266178953
"mirror_db_sample8",0.0221697053111697,0.303507202694325,0.356181013170215,0.0892651904262953,0.0135782704832215,0.182549672300725,0.0327489456140487
"mirror_db_sample9",0.0230471888964735,0.280921467380078,0.350028568766529,0.126604503358393,0.0135705519945298,0.183887765871939,0.0219399537320584
"mirror_db_sample10",0.000572381554400767,0.32455566638964,0.350557206500048,0.123646562967909,0.0340170506910857,0.109044290798657,0.0576068410982595
"mirror_db_sample11",0.0466527787849651,0.290447888889305,0.334993686962622,0.105507778643099,0.00478783853605846,0.184646723423487,0.0329633047604645
"mirror_db_sample12",0.0231077602375323,0.315310852159256,0.325984847452262,0.104766455748716,0.000228914891023386,0.190444884068498,0.0401562854427119
"mirror_db_sample13",0.0294850092248033,0.292132583589797,0.305879297094097,0.110776010834058,0.0109173254313409,0.215446684185528,0.0353630896403765
"mirror_db_sample14",0.0566634097193177,0.317866002899344,0.306538570728556,0.0972975943843585,0.016999147866058,0.177616479563093,0.0270187948392723
"mirror_db_sample15",0.0172937580360453,0.332875369624109,0.343117761990342,0.157817312882957,4.01412322050957e-05,0.116972454992772,0.0318832012415695
"mirror_db_sample16",0.0622078623545592,0.392737963432837,0.324833360130685,0.0870716094081801,0,0.0823894470397538,0.050759757633985
"mirror_db_sample17",0.049648013392162,0.299307832082094,0.296024558976796,0.17108495896276,0.0478528601384692,0.0937769706155866,0.0423048058321313
"mirror_db_sample18",0.0195733310913696,0.34644848845724,0.316407049323941,0.113491134393005,0.0112586565897367,0.133472044727221,0.0593492954174857
"mirror_db_sample19",0.0282768628227609,0.357852438162749,0.324537711549163,0.121527054987515,0,0.141492666076819,0.0263132664009941
"mirror_db_sample20",0.004750681766281,0.299853230306248,0.35247120018513,0.106517545595922,0.00792737596299617,0.189092832680348,0.0393871335030745
"mirror_db_sample21",0.0303459124801465,0.34079077474905,0.333757413527177,0.0777192782067274,0.0155492661271861,0.129425278863063,0.0724120760466498
"mirror_db_sample22",0.00824504620138278,0.311447394404631,0.330521065345293,0.138616501345019,1.86812660644651e-22,0.188356363605184,0.0228136290984901
"mirror_db_sample23",0.0415749719896661,0.310681744194755,0.377147587412704,0.14191698131417,0.005635899962616,0.105437162865128,0.0176056522609611
"mirror_db_sample24",0.0230317929654122,0.302118106643666,0.350068639473377,0.109643997321378,0.0298944392819272,0.147180695709937,0.0380623286043016
"mirror_db_sample25",0.0404904965409324,0.39102471143045,0.275550886942344,0.0852442475209019,0.0151680525456003,0.134009162544138,0.0585124424756338
