"Dataset","Method","CAFtype","Correlation","RMSE"
"Breast","InstaPrism","mCAF",-0.139662869820657,0.0781104759209525
"Breast","InstaPrism","iCAF",-0.194837533912204,0.0276126208655953
"Breast","InstaPrism","vCAF",0.0964132509093831,0.101642999007831
"Breast","InstaPrism","Pericyte",0.125178443112628,0.0753868313986485
"Breast","InstaPrism","tpCAF",0.120850113754703,0.0212498889118003
"Breast","InstaPrism","hsp_tpCAF",-0.0786024583682681,0.0279424887331905
"Breast","InstaPrism","IDO_CAF",-0.0367142668136212,0.0660113316912523
"Breast","InstaPrism","apCAF",0.0319888793873131,0.0300194024353432
"Breast","InstaPrism","rCAF",-0.0703827287528981,0.0109714795211547
"Breast","InstaPrism","dCAF",-0.0153124521753352,0.0775051198542661
"Lung","InstaPrism","mCAF",0.422816797762907,0.0281393597675941
"Lung","InstaPrism","tpCAF",0.389582024429687,0.103019736989094
"Lung","InstaPrism","rCAF",0.896340626986512,0.00927315526397075
"Lung","InstaPrism","iCAF",0.564991774640019,0.166300773311038
"Lung","InstaPrism","apCAF",0.915487286493195,0.0261749439873298
"Lung","InstaPrism","Pericyte",0.400407739402655,0.0815437504018446
"Lung","InstaPrism","vCAF",0.407080132358552,0.0205304047954
